,stationTriplet,date,value,average
0,336:NV:SNTL,2019-03-01,10.4,8.8
1,336:NV:SNTL,2019-03-02,10.4,8.8
2,336:NV:SNTL,2019-03-03,10.4,8.9
3,336:NV:SNTL,2019-03-04,10.5,9.0
4,336:NV:SNTL,2019-03-05,10.7,9.0
5,336:NV:SNTL,2019-03-06,10.7,9.1
6,336:NV:SNTL,2019-03-07,10.8,9.1
7,336:NV:SNTL,2019-03-08,10.8,9.1
8,336:NV:SNTL,2019-03-09,10.8,9.2
9,336:NV:SNTL,2019-03-10,10.8,9.2
10,336:NV:SNTL,2019-03-11,10.8,9.2
11,336:NV:SNTL,2019-03-12,10.9,9.2
12,336:NV:SNTL,2019-03-13,10.9,9.3
13,336:NV:SNTL,2019-03-14,11.0,9.4
14,336:NV:SNTL,2019-03-15,11.1,9.4
15,336:NV:SNTL,2019-03-16,11.1,9.4
16,336:NV:SNTL,2019-03-17,11.1,9.5
17,336:NV:SNTL,2019-03-18,11.1,9.6
18,336:NV:SNTL,2019-03-19,11.1,9.6
19,336:NV:SNTL,2019-03-20,11.1,9.6
20,336:NV:SNTL,2019-03-21,11.1,9.7
21,336:NV:SNTL,2019-03-22,11.1,9.8
22,336:NV:SNTL,2019-03-23,11.1,9.8
23,336:NV:SNTL,2019-03-24,11.1,9.9
24,336:NV:SNTL,2019-03-25,11.1,9.9
25,336:NV:SNTL,2019-03-26,11.1,10.0
26,336:NV:SNTL,2019-03-27,11.6,10.1
27,336:NV:SNTL,2019-03-28,11.6,10.2
28,336:NV:SNTL,2019-03-29,11.6,10.2
29,336:NV:SNTL,2019-03-30,11.6,10.2
30,336:NV:SNTL,2019-03-31,11.6,10.3
31,336:NV:SNTL,2019-04-01,11.7,10.4
32,336:NV:SNTL,2019-04-02,12.0,10.4
33,336:NV:SNTL,2019-04-03,12.0,10.5
34,336:NV:SNTL,2019-04-04,12.0,10.5
35,336:NV:SNTL,2019-04-05,12.2,10.6
36,336:NV:SNTL,2019-04-06,12.2,10.6
37,336:NV:SNTL,2019-04-07,12.2,10.7
38,336:NV:SNTL,2019-04-08,12.2,10.8
39,336:NV:SNTL,2019-04-09,12.4,10.9
40,336:NV:SNTL,2019-04-10,12.9,11.0
41,336:NV:SNTL,2019-04-11,13.1,11.0
42,336:NV:SNTL,2019-04-12,13.2,11.0
43,336:NV:SNTL,2019-04-13,13.3,11.1
44,336:NV:SNTL,2019-04-14,13.8,11.2
45,336:NV:SNTL,2019-04-15,13.9,11.2
46,336:NV:SNTL,2019-04-16,14.0,11.3
47,336:NV:SNTL,2019-04-17,14.0,11.4
48,336:NV:SNTL,2019-04-18,14.0,11.4
49,336:NV:SNTL,2019-04-19,14.0,11.5
50,336:NV:SNTL,2019-04-20,14.6,11.6
51,336:NV:SNTL,2019-04-21,14.8,11.7
52,336:NV:SNTL,2019-04-22,14.8,11.8
53,336:NV:SNTL,2019-04-23,14.8,11.9
54,336:NV:SNTL,2019-04-24,14.8,12.0
55,336:NV:SNTL,2019-04-25,14.8,12.1
56,336:NV:SNTL,2019-04-26,14.8,12.2
57,336:NV:SNTL,2019-04-27,14.8,12.2
58,336:NV:SNTL,2019-04-28,14.8,12.2
59,336:NV:SNTL,2019-04-29,14.8,12.3
60,336:NV:SNTL,2019-04-30,14.9,12.4
61,336:NV:SNTL,2019-05-01,14.9,12.5
62,336:NV:SNTL,2019-05-02,14.9,12.5
63,336:NV:SNTL,2019-05-03,14.9,12.6
64,336:NV:SNTL,2019-05-04,14.9,12.6
65,336:NV:SNTL,2019-05-05,14.9,12.7
66,336:NV:SNTL,2019-05-06,15.0,12.8
67,336:NV:SNTL,2019-05-07,15.0,12.8
68,336:NV:SNTL,2019-05-08,15.0,12.9
69,336:NV:SNTL,2019-05-09,15.0,13.0
70,336:NV:SNTL,2019-05-10,15.0,13.1
71,336:NV:SNTL,2019-05-11,15.0,13.1
72,336:NV:SNTL,2019-05-12,15.0,13.2
73,336:NV:SNTL,2019-05-13,15.1,13.2
74,336:NV:SNTL,2019-05-14,15.1,13.3
75,336:NV:SNTL,2019-05-15,15.1,13.3
76,336:NV:SNTL,2019-05-16,15.5,13.4
77,336:NV:SNTL,2019-05-17,16.1,13.5
78,336:NV:SNTL,2019-05-18,16.2,13.6
79,336:NV:SNTL,2019-05-19,16.5,13.7
80,336:NV:SNTL,2019-05-20,17.0,13.8
81,336:NV:SNTL,2019-05-21,17.3,13.9
82,336:NV:SNTL,2019-05-22,17.5,14.0
