month_day,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10-01,17.46666666666667,19.633333333333333,14.41,12.482608695652175,16.808695652173913,9.808695652173913,10.956521739130435,13.12608695652174,10.72608695652174,9.161538461538461,17.86923076923077,18.884615384615383,14.616666666666667,13.833333333333334,12.543333333333333,8.633333333333333,16.492592592592594,10.233333333333334,11.241379310344827,10.071428571428571,22.232,
10-02,17.2,19.577777777777776,15.434999999999999,12.286956521739132,16.821739130434782,10.647826086956522,11.008695652173913,13.75,10.621739130434781,9.103846153846153,17.51153846153846,18.392307692307693,15.863333333333333,13.593333333333334,12.446666666666665,8.718518518518518,16.437037037037037,10.203703703703704,11.23103448275862,10.057142857142859,22.156,
10-03,17.033333333333335,19.422222222222224,16.1,12.373913043478263,17.182608695652174,11.18695652173913,11.160869565217391,13.469565217391304,10.608695652173912,9.01304347826087,17.303846153846155,18.138461538461538,15.566666666666666,13.363333333333333,12.246666666666666,8.603703703703705,16.640740740740743,10.207407407407409,11.172413793103448,9.935714285714285,22.904,
10-04,16.833333333333332,19.366666666666667,15.715,12.282608695652174,16.93913043478261,13.734782608695651,11.152173913043478,14.247826086956522,10.795652173913044,8.819230769230769,17.142307692307693,17.838461538461537,15.333333333333334,13.346666666666666,13.393333333333334,9.188888888888888,17.099999999999998,10.203703703703704,11.093103448275862,9.903571428571428,22.496,
10-05,16.733333333333334,19.255555555555556,15.25,12.143478260869566,16.87391304347826,13.804347826086957,11.682608695652174,14.378260869565217,13.843478260869563,8.657692307692308,16.934615384615384,17.596153846153847,15.446666666666665,13.32,13.57,9.37037037037037,17.507407407407406,10.808333333333332,11.137931034482758,9.9,22.151999999999997,
10-06,16.733333333333334,19.266666666666666,15.14,15.07391304347826,16.730434782608697,13.61304347826087,12.430434782608694,15.360869565217392,14.143478260869566,8.6,17.015384615384615,17.369230769230768,15.346666666666668,13.386666666666667,13.936666666666667,11.05185185185185,17.52962962962963,10.066666666666666,11.110344827586207,9.839285714285714,21.84,
10-07,16.633333333333333,19.11111111111111,15.169999999999998,14.995652173913046,17.32608695652174,13.269565217391303,12.856521739130434,15.078260869565218,15.904347826086957,8.526923076923076,16.907692307692308,17.126923076923077,15.313333333333333,13.34,14.286666666666667,11.855555555555556,17.72222222222222,9.992592592592594,11.748275862068965,9.803571428571429,21.584,
10-08,16.766666666666666,19.15555555555555,15.39,14.726086956521739,17.44782608695652,12.878260869565217,12.808695652173913,17.375,16.869565217391305,8.588461538461537,16.7,16.682758620689654,15.103333333333333,13.31,14.106666666666666,11.814814814814815,17.844444444444445,10.014814814814814,15.420689655172414,9.771428571428572,21.308000000000003,
10-09,16.400000000000002,18.944444444444443,15.3,14.51304347826087,17.26086956521739,12.539130434782608,13.221739130434784,17.29,16.92608695652174,8.684615384615384,16.453846153846154,16.25,14.926666666666668,13.293333333333333,13.843333333333334,15.322222222222221,17.451851851851853,9.892592592592594,16.462962962962962,9.660714285714286,20.976,
10-10,16.099999999999998,18.566666666666666,15.040000000000001,14.299999999999999,16.856521739130436,12.126086956521737,13.213043478260868,16.569565217391304,18.213043478260868,8.7,16.35,15.926666666666668,14.83,13.176666666666668,13.753333333333334,16.244444444444444,16.57037037037037,11.040740740740741,15.796551724137931,9.742857142857144,20.88,
10-11,16.066666666666666,18.58888888888889,15.035,14.252173913043478,16.608695652173914,11.982608695652175,13.430434782608698,16.343478260869563,20.23478260869565,8.78076923076923,16.123076923076923,16.055555555555557,14.49,13.116666666666667,13.6,15.9,16.414814814814815,11.733333333333334,16.151724137931033,9.700000000000001,22.508000000000003,
