date,value,average,median
1980-10-01,0.0,0.0,0.0
1980-10-02,0.0,0.0,0.0
1980-10-03,0.0,0.0,0.0
1980-10-04,0.0,0.0,0.0
1980-10-05,0.0,0.0,0.0
1980-10-06,0.0,0.0,0.0
1980-10-07,0.0,0.0,0.0
1980-10-08,0.0,0.0,0.0
1980-10-09,0.0,0.025,0.0
1980-10-10,0.0,0.025,0.0
1980-10-11,0.0,0.025,0.0
1980-10-12,0.0,0.025,0.0
1980-10-13,0.075,0.025,0.0
1980-10-14,0.075,0.025,0.0
1980-10-15,0.15,0.025,0.0
1980-10-16,0.175,0.025,0.0
1980-10-17,0.175,0.025,0.0
1980-10-18,0.175,0.025,0.0
1980-10-19,0.175,0.025,0.0
1980-10-20,0.2,0.025,0.0
1980-10-21,0.2,0.025,0.0
1980-10-22,0.2,0.025,0.0
1980-10-23,0.2,0.025,0.0
1980-10-24,0.15,0.025,0.0
1980-10-25,0.1,0.05,0.0
1980-10-26,0.1,0.05,0.0
1980-10-27,0.1,0.07500000000000001,0.0
1980-10-28,0.1,0.07500000000000001,0.0
1980-10-29,0.1,0.09999999999999999,0.0
1980-10-30,0.1,0.09999999999999999,0.0
1980-10-31,0.1,0.09999999999999999,0.0
1980-11-01,0.0,0.125,0.0
1980-11-02,0.0,0.125,0.0
1980-11-03,0.0,0.15,0.0
1980-11-04,0.0,0.2,0.05
1980-11-05,0.0,0.25,0.075
1980-11-06,0.0,0.25,0.1
1980-11-07,0.0,0.25,0.1
1980-11-08,0.0,0.25,0.1
1980-11-09,0.0,0.27499999999999997,0.125
1980-11-10,0.0,0.3,0.15
1980-11-11,0.05,0.325,0.175
1980-11-12,0.125,0.35000000000000003,0.15
1980-11-13,0.125,0.375,0.225
1980-11-14,0.125,0.375,0.2
1980-11-15,0.125,0.4,0.2
1980-11-16,0.0,0.45,0.2
1980-11-17,0.0,0.475,0.3
1980-11-18,0.0,0.55,0.3
1980-11-19,0.0,0.5249999999999999,0.35
1980-11-20,0.0,0.575,0.39999999999999997
1980-11-21,0.275,0.575,0.39999999999999997
1980-11-22,0.425,0.675,0.44999999999999996
1980-11-23,0.625,0.7,0.475
1980-11-24,0.675,0.725,0.525
1980-11-25,0.7250000000000001,0.825,0.725
1980-11-26,0.7250000000000001,0.85,0.7000000000000001
1980-11-27,0.7250000000000001,0.95,0.725
1980-11-28,0.775,1.05,0.8
1980-11-29,0.825,1.125,0.875
1980-11-30,0.925,1.15,0.975
1980-12-01,0.9750000000000001,1.225,1.025
1980-12-02,0.9750000000000001,1.3,1.125
1980-12-03,1.125,1.325,1.175
1980-12-04,1.3,1.4,1.225
1980-12-05,1.35,1.45,1.225
1980-12-06,1.4,1.525,1.25
1980-12-07,1.4,1.575,1.325
1980-12-08,1.4,1.65,1.4
1980-12-09,1.4,1.725,1.5
1980-12-10,1.4,1.775,1.525
1980-12-11,1.4,1.875,1.6
1980-12-12,1.4,2.0,1.8
1980-12-13,1.4,2.075,1.85
1980-12-14,1.4,2.15,1.85
1980-12-15,1.425,2.275,1.925
1980-12-16,1.425,2.325,2.0
1980-12-17,1.45,2.375,2.05
1980-12-18,1.45,2.425,2.1
1980-12-19,1.45,2.575,2.15
1980-12-20,1.45,2.675,2.175
1980-12-21,1.575,2.775,2.25
1980-12-22,1.6,2.85,2.325
1980-12-23,1.6,2.9000000000000004,2.475
1980-12-24,1.6500000000000001,2.975,2.575
1980-12-25,1.7,3.0749999999999997,2.65
1980-12-26,1.725,3.175,2.75
1980-12-27,1.725,3.225,2.9
1980-12-28,1.65,3.3499999999999996,2.9
1980-12-29,1.575,3.5,2.95
1980-12-30,1.45,3.6,3.05
1980-12-31,1.45,3.7,3.2
1981-01-01,1.5,3.775,3.4
1981-01-02,1.5,3.825,3.4
1981-01-03,1.5,3.875,3.4250000000000003
1981-01-04,1.5,3.95,3.575
1981-01-05,1.5,4.025,3.65
1981-01-06,1.5,4.125,3.675
1981-01-07,1.5,4.175,3.75
1981-01-08,1.5,4.325,3.85
1981-01-09,1.5,4.375,3.9000000000000004
1981-01-10,1.5,4.5,4.2
1981-01-11,1.5,4.65,4.3
1981-01-12,1.5,4.7,4.425
1981-01-13,1.5,4.8,4.525
1981-01-14,1.5,4.875,4.575
1981-01-15,1.5,4.975,4.625
1981-01-16,1.5,5.1,5.025
1981-01-17,1.5,5.125,5.025
1981-01-18,1.5,5.25,5.05
1981-01-19,1.5,5.325,5.125
1981-01-20,1.5,5.425,5.2250000000000005
1981-01-21,1.5,5.525,5.300000000000001
1981-01-22,1.725,5.6000000000000005,5.475
1981-01-23,2.2,5.7,5.5249999999999995
1981-01-24,2.3,5.824999999999999,5.675
1981-01-25,2.35,5.925000000000001,5.725
1981-01-26,2.375,6.0,5.75
1981-01-27,2.4,6.05,5.9
1981-01-28,2.475,6.175,5.9
1981-01-29,2.725,6.225,5.9
1981-01-30,2.875,6.325,5.925
1981-01-31,2.875,6.375,6.0
1981-02-01,2.875,6.425,6.0
1981-02-02,2.85,6.5,6.05
1981-02-03,2.85,6.6,6.25
1981-02-04,2.85,6.65,6.325
1981-02-05,2.85,6.699999999999999,6.35
1981-02-06,2.85,6.75,6.45
1981-02-07,2.85,6.8,6.525
1981-02-08,2.85,6.875,6.550000000000001
1981-02-09,2.85,6.95,6.65
1981-02-10,2.85,6.975,6.8
1981-02-11,2.875,7.075,6.825
1981-02-12,2.875,7.1000000000000005,6.925
1981-02-13,2.875,7.2,7.025
1981-02-14,2.9,7.225,7.05
1981-02-15,2.725,7.2749999999999995,7.1000000000000005
1981-02-16,2.65,7.375,7.15
1981-02-17,2.65,7.4,7.2749999999999995
1981-02-18,2.7750000000000004,7.45,7.325
1981-02-19,2.6750000000000003,7.55,7.375
1981-02-20,2.6750000000000003,7.625,7.45
1981-02-21,2.6750000000000003,7.675,7.525
1981-02-22,2.7,7.7749999999999995,7.625
