,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
1042,13182450:OR:USGS,13182450,OR,USGS,Div To North And South Canals Fr Owyhee,ID,Malheur,170501100702,2344.0,43.6419,-117.2319,,,,1938-10-01 00:00,2100-01-01 00:00
2038,13182500:OR:BOR,13182500,OR,BOR,Lake Owyhee,ID,Malheur,170501100702,3675.0,43.64193,-117.24136,,,,1935-04-01 00:00,2100-01-01 00:00
2843,6405:OR:COOP,6405,OR,COOP,Owyhee Dam,OR,Malheur,170501100702,2400.0,43.65,-117.25,,,OWYO3,1935-02-01 00:00,2100-01-01 00:00
2844,13183000:OR:USGS,13183000,OR,USGS,Owyhee R bl Owyhee Dam,ID,Malheur,170501100702,2344.0,43.65444,-117.25583,,,,1929-02-25 00:00,2100-01-01 00:00
2845,13174500:NV:USGS,13174500,NV,USGS,Owyhee R nr Gold Ck,ID,Elko,170501040201,6119.0,41.68879,-115.84481,,,,1916-04-01 00:00,2100-01-01 00:00
2846,13181000:OR:USGS,13181000,OR,USGS,Owyhee R nr Rome,ID,Malheur,170501070705,3344.0,42.86639,-117.64917,,,,1949-10-01 00:00,2100-01-01 00:00
3286,7310:OR:COOP,7310,OR,COOP,Rome 2 NW,OR,Malheur,170501070705,3410.0,42.86666,-117.65,,,,1950-12-01 00:00,2100-01-01 00:00
265,336:NV:SNTL,336,NV,SNTL,Big Bend,UT,Elko,170501040104,6898.0,41.76168,-115.6931,-8.0,,BIGN2,1978-10-01 00:00,2100-01-01 00:00
1394,1262:NV:SNTL,1262,NV,SNTL,Fry Canyon,UT,Elko,160401020101,6798.0,41.58008,-115.9364,-8.0,73391,FRYN2,2014-10-08 00:00,2100-01-01 00:00
1836,548:NV:SNTL,548,NV,SNTL,Jack Creek Upper,UT,Elko,170501050201,7377.0,41.54675,-116.00517,-8.0,,JCUN2,1978-10-01 00:00,2100-01-01 00:00
2087,573:NV:SNTL,573,NV,SNTL,Laurel Draw,UT,Elko,170501040202,6682.0,41.77637,-116.02957,-8.0,,LADN2,1979-10-01 00:00,2100-01-01 00:00
2639,654:ID:SNTL,654,ID,SNTL,Mud Flat,ID,Owyhee,170501041401,5730.0,42.6004,-116.55925,-8.0,31861,MDFI1,1979-10-01 00:00,2100-01-01 00:00
3629,774:ID:SNTL,774,ID,SNTL,South Mtn.,ID,Owyhee,170501080205,6500.0,42.76478,-116.90037,-8.0,33604,SMTI1,1978-10-01 00:00,2100-01-01 00:00
3850,811:NV:SNTL,811,NV,SNTL,Taylor Canyon,UT,Elko,170501050105,6325.0,41.2287,-116.0293,-8.0,,TACN2,1980-10-01 00:00,2100-01-01 00:00
3941,1136:NV:SNTL,1136,NV,SNTL,Toe Jam,UT,Elko,160401060202,7690.0,41.3187,-116.3408,-8.0,40630,TJMN2,2009-10-01 00:00,2100-01-01 00:00
4290,13174000:NV:BOR,13174000,NV,BOR,Wild Horse Reservoir,ID,Elko,170501040106,6205.0,41.6871,-115.84476,,,,1957-10-01 00:00,2100-01-01 00:00
4290,13174000:NV:BOR,13174000,NV,BOR,Wild Horse Reservoir,ID,Elko,170501040106,6205.0,41.6871,-115.84476,,,,1957-10-01 00:00,2100-01-01 00:00
