date,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,10%,30%,70%,90%,Min,Median ('91-'20),Median (POR),Max,Median Peak SWE
10-01,0.0,0.0,0.0428571429,0.0,0.0,0.0,0.2571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571428571,
10-02,0.0,0.0,0.0714285714,0.0,0.0,0.0,0.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857,
10-03,0.0,0.0,0.0714285714,0.0,0.0,0.0,0.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857,
10-04,0.0,0.0,0.0428571429,0.0,0.0,0.0,0.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857,
10-05,0.0,0.0,0.0428571429,0.0,0.0,0.0,0.2857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114285714,0.0,0.0,0.0,0.3,
10-06,0.0,0.0,0.0714285714,0.0,0.0,0.0,0.2571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3875,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328571429,0.0,0.0,0.0,0.3875,
10-07,0.0,0.0,0.0571428571,0.0,0.0,0.0571428571,0.2285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0532142857,0.0,0.0,0.0,0.45,
10-08,0.0,0.0285714286,0.0571428571,0.0,0.0,0.1142857143,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.025,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0514285714,0.0,0.0,0.0,0.475,
10-09,0.0,0.0285714286,0.0285714286,0.0,0.0,0.1714285714,0.1285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1625,0.0125,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0514285714,0.0,0.0,0.0,0.325,
10-10,0.0,0.0285714286,0.0285714286,0.0,0.0,0.1857142857,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0125,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.2625,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.2625,
10-11,0.0,0.1,0.0857142857,0.0,0.0,0.1857142857,0.0857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428571429,0.0,0.0,0.0142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0857142857,0.125,0.0125,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.2125,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0971428571,0.0,0.0,0.0,0.2125,
10-12,0.0,0.1857142857,0.1,0.0,0.2142857143,0.2,0.0142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0571428571,0.0,0.0571428571,0.0,0.0,0.0714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142857143,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.125,0.0,0.025,0.0,0.0,0.0,0.1228571429,0.0,0.0,0.0,0.2142857143,
10-13,0.0,0.2857142857,0.1142857143,0.0,0.1571428571,0.2285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0428571429,0.0,0.0428571429,0.0,0.0,0.1714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285714286,0.1,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.1514285714,0.0,0.0,0.0,0.2857142857,
10-14,0.06,0.2714285714,0.1142857143,0.0571428571,0.1285714286,0.1571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142857143,0.0,0.0428571429,0.0,0.0,0.4857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142857143,0.1,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.1375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0185714286,0.1278571429,0.0,0.0,0.0,0.4857142857,
10-15,0.06,0.2571428571,0.1142857143,0.0857142857,0.1142857143,0.1428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1714285714,0.0,0.0,0.0428571429,0.0,0.0,0.4142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142857143,0.025,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.1,0.0,0.0,0.0875,0.0,0.0,0.0,0.0,0.0175,0.1142857143,0.0,0.0,0.0,0.4142857143,
10-16,0.2,0.2142857143,0.1,0.0857142857,0.0142857143,0.1428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285714286,0.0,0.0,0.0571428571,0.0,0.0,0.3571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714,0.0125,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.075,0.0,0.0,0.0375,0.0,0.0,0.0,0.0,0.0132142857,0.1342857143,0.0,0.0,0.0,0.3571428571,
10-17,0.22,0.2142857143,0.1,0.1142857143,0.0714285714,0.1714285714,0.0,0.0,0.0,0.0,0.0285714286,0.0,0.0,0.0,0.2142857143,0.0,0.0,0.0285714286,0.0,0.0,0.3428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714286,0.0714285714,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.1125,0.0125,0.0375,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0285714286,0.16,0.0,0.0,0.0,0.3428571429,
10-18,0.22,0.2142857143,0.1,0.1142857143,0.4285714286,0.1714285714,0.0,0.0,0.0,0.0,0.0142857143,0.0,0.0,0.0,0.1571428571,0.0,0.0,0.0,0.0,0.0,0.3285714286,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0571428571,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.2125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132142857,0.21,0.0,0.0,0.0,0.4285714286,
