,stationTriplet,date,value,average
0,336:NV:SNTL,2016-03-01,11.4,8.8
1,336:NV:SNTL,2016-03-02,11.4,8.8
2,336:NV:SNTL,2016-03-03,11.4,8.9
3,336:NV:SNTL,2016-03-04,11.4,9.0
4,336:NV:SNTL,2016-03-05,11.4,9.0
5,336:NV:SNTL,2016-03-06,12.0,9.1
6,336:NV:SNTL,2016-03-07,12.0,9.1
7,336:NV:SNTL,2016-03-08,12.0,9.1
8,336:NV:SNTL,2016-03-09,12.0,9.2
9,336:NV:SNTL,2016-03-10,12.0,9.2
10,336:NV:SNTL,2016-03-11,12.0,9.2
11,336:NV:SNTL,2016-03-12,12.0,9.2
12,336:NV:SNTL,2016-03-13,12.1,9.3
13,336:NV:SNTL,2016-03-14,12.5,9.4
14,336:NV:SNTL,2016-03-15,12.7,9.4
15,336:NV:SNTL,2016-03-16,12.7,9.4
16,336:NV:SNTL,2016-03-17,12.7,9.5
17,336:NV:SNTL,2016-03-18,12.7,9.6
18,336:NV:SNTL,2016-03-19,12.8,9.6
19,336:NV:SNTL,2016-03-20,12.8,9.6
20,336:NV:SNTL,2016-03-21,12.8,9.7
21,336:NV:SNTL,2016-03-22,13.0,9.8
22,336:NV:SNTL,2016-03-23,13.1,9.8
23,336:NV:SNTL,2016-03-24,13.1,9.9
24,336:NV:SNTL,2016-03-25,13.1,9.9
25,336:NV:SNTL,2016-03-26,13.1,10.0
26,336:NV:SNTL,2016-03-27,13.1,10.1
27,336:NV:SNTL,2016-03-28,13.2,10.2
28,336:NV:SNTL,2016-03-29,13.4,10.2
29,336:NV:SNTL,2016-03-30,13.4,10.2
30,336:NV:SNTL,2016-03-31,13.4,10.3
31,336:NV:SNTL,2016-04-01,13.4,10.4
32,336:NV:SNTL,2016-04-02,13.4,10.4
33,336:NV:SNTL,2016-04-03,13.4,10.5
34,336:NV:SNTL,2016-04-04,13.4,10.5
35,336:NV:SNTL,2016-04-05,13.5,10.6
36,336:NV:SNTL,2016-04-06,13.5,10.6
37,336:NV:SNTL,2016-04-07,13.5,10.7
38,336:NV:SNTL,2016-04-08,13.5,10.8
39,336:NV:SNTL,2016-04-09,13.6,10.9
40,336:NV:SNTL,2016-04-10,14.2,11.0
41,336:NV:SNTL,2016-04-11,14.2,11.0
42,336:NV:SNTL,2016-04-12,14.4,11.0
43,336:NV:SNTL,2016-04-13,14.4,11.1
44,336:NV:SNTL,2016-04-14,14.4,11.2
45,336:NV:SNTL,2016-04-15,14.4,11.2
46,336:NV:SNTL,2016-04-16,14.5,11.3
47,336:NV:SNTL,2016-04-17,14.5,11.4
48,336:NV:SNTL,2016-04-18,14.5,11.4
49,336:NV:SNTL,2016-04-19,14.5,11.5
50,336:NV:SNTL,2016-04-20,14.5,11.6
51,336:NV:SNTL,2016-04-21,14.5,11.7
52,336:NV:SNTL,2016-04-22,15.0,11.8
53,336:NV:SNTL,2016-04-23,15.6,11.9
54,336:NV:SNTL,2016-04-24,15.8,12.0
55,336:NV:SNTL,2016-04-25,16.1,12.1
56,336:NV:SNTL,2016-04-26,16.1,12.2
57,336:NV:SNTL,2016-04-27,16.1,12.2
58,336:NV:SNTL,2016-04-28,16.2,12.2
59,336:NV:SNTL,2016-04-29,16.3,12.3
60,336:NV:SNTL,2016-04-30,16.4,12.4
61,336:NV:SNTL,2016-05-01,16.4,12.5
62,336:NV:SNTL,2016-05-02,16.4,12.5
63,336:NV:SNTL,2016-05-03,16.4,12.6
64,336:NV:SNTL,2016-05-04,16.4,12.6
65,336:NV:SNTL,2016-05-05,16.4,12.7
66,336:NV:SNTL,2016-05-06,16.5,12.8
67,336:NV:SNTL,2016-05-07,16.5,12.8
68,336:NV:SNTL,2016-05-08,16.7,12.9
69,336:NV:SNTL,2016-05-09,16.7,13.0
70,336:NV:SNTL,2016-05-10,16.7,13.1
71,336:NV:SNTL,2016-05-11,16.7,13.1
72,336:NV:SNTL,2016-05-12,16.7,13.2
73,336:NV:SNTL,2016-05-13,16.7,13.2
74,336:NV:SNTL,2016-05-14,16.8,13.3
75,336:NV:SNTL,2016-05-15,17.0,13.3
76,336:NV:SNTL,2016-05-16,17.1,13.4
77,336:NV:SNTL,2016-05-17,17.1,13.5
78,336:NV:SNTL,2016-05-18,17.1,13.6
79,336:NV:SNTL,2016-05-19,17.4,13.7
80,336:NV:SNTL,2016-05-20,18.0,13.8
81,336:NV:SNTL,2016-05-21,18.0,13.9
82,336:NV:SNTL,2016-05-22,18.0,14.0
83,336:NV:SNTL,2016-05-23,18.0,14.1
84,336:NV:SNTL,2016-05-24,18.0,14.1
85,336:NV:SNTL,2016-05-25,18.1,14.2
86,336:NV:SNTL,2016-05-26,18.1,14.3
87,336:NV:SNTL,2016-05-27,18.1,14.4
88,336:NV:SNTL,2016-05-28,18.1,14.5
89,336:NV:SNTL,2016-05-29,18.1,14.5
90,336:NV:SNTL,2016-05-30,18.1,14.6
91,336:NV:SNTL,2016-05-31,18.1,14.6
92,336:NV:SNTL,2016-06-01,18.1,14.6
93,336:NV:SNTL,2016-06-02,18.1,14.7
94,336:NV:SNTL,2016-06-03,18.1,14.8
95,336:NV:SNTL,2016-06-04,18.1,14.9
96,336:NV:SNTL,2016-06-05,18.1,15.0
97,336:NV:SNTL,2016-06-06,18.1,15.0
98,336:NV:SNTL,2016-06-07,18.1,15.1
99,336:NV:SNTL,2016-06-08,18.1,15.1
100,336:NV:SNTL,2016-06-09,18.1,15.2
101,336:NV:SNTL,2016-06-10,18.1,15.3
102,336:NV:SNTL,2016-06-11,18.2,15.3
103,336:NV:SNTL,2016-06-12,18.2,15.4
104,336:NV:SNTL,2016-06-13,18.2,15.4
105,336:NV:SNTL,2016-06-14,18.2,15.5
106,336:NV:SNTL,2016-06-15,18.2,15.5
107,336:NV:SNTL,2016-06-16,18.2,15.5
108,336:NV:SNTL,2016-06-17,18.2,15.5
109,336:NV:SNTL,2016-06-18,18.2,15.5
110,336:NV:SNTL,2016-06-19,18.2,15.6
111,336:NV:SNTL,2016-06-20,18.2,15.6
112,336:NV:SNTL,2016-06-21,18.2,15.6
113,336:NV:SNTL,2016-06-22,18.2,15.6
114,336:NV:SNTL,2016-06-23,18.2,15.6
115,336:NV:SNTL,2016-06-24,18.2,15.6
116,336:NV:SNTL,2016-06-25,18.2,15.7
117,336:NV:SNTL,2016-06-26,18.2,15.7
118,336:NV:SNTL,2016-06-27,18.2,15.7
119,336:NV:SNTL,2016-06-28,18.2,15.7
120,336:NV:SNTL,2016-06-29,18.2,15.7
121,336:NV:SNTL,2016-06-30,18.2,15.7
0,548:NV:SNTL,2016-03-01,19.6,15.4
1,548:NV:SNTL,2016-03-02,19.6,15.5
2,548:NV:SNTL,2016-03-03,19.6,15.6
3,548:NV:SNTL,2016-03-04,19.6,15.7
4,548:NV:SNTL,2016-03-05,19.6,15.8
5,548:NV:SNTL,2016-03-06,20.1,15.9
6,548:NV:SNTL,2016-03-07,20.1,16.0
7,548:NV:SNTL,2016-03-08,20.3,16.1
8,548:NV:SNTL,2016-03-09,20.3,16.2
9,548:NV:SNTL,2016-03-10,20.3,16.3
10,548:NV:SNTL,2016-03-11,20.5,16.3
11,548:NV:SNTL,2016-03-12,20.6,16.4
